symbol,dir,regime,entry_date,exit_date,entry,exit,size,pnl,pnl_pct,reason,hold_days,exit_month
USO,LONG,trend,2022-03-09,2022-06-17,75.4775482208252,83.33166233825683,793.8612679156939,6221.846235794555,10.383813424932546,ATR trailing stop,100,2022-06
ETH-USD,LONG,trend,2022-07-31,2022-08-19,1678.95906,1608.2054950000002,22.79561181490912,-1649.5308304435584,-4.309918700161739,ATR trailing stop,19,2022-08
QQQ,LONG,trend,2022-08-09,2022-08-26,309.4633468048096,299.9948998535156,385.97203764751845,-3677.7136917044327,-3.07902245278651,ATR trailing stop,17,2022-08
ETH-USD,LONG,trend,2022-10-30,2022-11-08,1591.23522,1334.102615,37.51171986865286,-9695.530731426885,-16.24314899308224,Hard stop-loss,9,2022-11
TLT,LONG,trend,2022-12-06,2022-12-20,93.07023443756104,90.21545722732544,1198.10992556354,-3441.9545178045228,-3.0867229668454086,ATR trailing stop,14,2022-12
GLD,LONG,trend,2022-11-16,2023-02-03,165.13650711669922,173.4426607131958,675.9240882968876,5590.882482502998,5.008865216283544,ATR trailing stop,79,2023-02
QQQ,LONG,trend,2023-02-03,2023-03-01,300.0788940490723,285.34029856567383,378.78466986738965,-5604.370530646496,-4.930591200023563,ATR trailing stop,26,2023-03
BTC-USD,LONG,trend,2023-01-30,2023-03-06,22837.563075000002,22398.795000000002,3.476436526311043,-1603.2173515925363,-2.0193348497188546,ATR trailing stop,35,2023-03
ETH-USD,LONG,trend,2023-02-08,2023-03-09,1651.255215,1436.60134,19.450428347357196,-4203.052326597454,-13.08643717682369,Hard stop-loss,29,2023-03
TLT,LONG,trend,2023-03-24,2023-04-17,93.67819775466918,91.24303390274048,511.15071644050096,-1254.0635359932865,-2.6189791408395977,ATR trailing stop,24,2023-04
BTC-USD,LONG,trend,2023-03-16,2023-04-21,25011.279389999996,27249.208580000002,2.2187806965766907,4905.014069083227,8.838732105419124,ATR trailing stop,36,2023-04
ETH-USD,LONG,trend,2023-04-17,2023-04-21,2075.037,1847.85561,22.434802901153237,-5138.225983860159,-11.037357194594591,Hard stop-loss,4,2023-04
GLD,LONG,trend,2023-03-21,2023-05-18,180.3880321166992,181.82181233825685,611.3915584114924,854.3682598379628,0.7746721568457229,ATR trailing stop,58,2023-05
BTC-USD,LONG,trend,2023-04-27,2023-05-21,29487.506385,26734.40611,2.219875450259825,-6170.88676437694,-9.427160929837305,ATR trailing stop,24,2023-05
BTC-USD,LONG,trend,2023-06-22,2023-07-27,29899.862459999997,29208.16861,2.5003571918599783,-1802.5125468578794,-2.4110546313529633,ATR trailing stop,35,2023-07
QQQ,LONG,trend,2023-05-23,2023-08-09,327.22299612731933,361.56015384521487,315.87040569448186,10823.250708251462,10.47140515570439,ATR trailing stop,78,2023-08
USO,LONG,trend,2023-08-02,2023-09-18,71.48715135726928,81.44185194854737,1419.0011013363733,14102.617886975473,13.902375506920755,RSI overbought exit,47,2023-09
USO,LONG,trend,2023-09-20,2023-10-04,80.1480133895874,75.58243733825684,1433.137678193142,-6564.763069569927,-5.715291427788937,Hard stop-loss,14,2023-10
BTC-USD,LONG,trend,2023-10-07,2023-10-14,27970.648334999998,26839.053760000003,3.988798137109005,-4620.757900362295,-4.141604495132256,Bearish cross exit,7,2023-10
BTC-USD,LONG,trend,2023-10-18,2023-10-23,28334.16,33053.455004999996,3.51226788768733,16459.335709993527,16.539193503513065,RSI overbought exit,5,2023-10
GLD,LONG,trend,2023-10-23,2023-11-10,182.9882982208252,179.49204350738526,641.4782628362807,-2265.7994488630115,-1.9302617470538457,ATR trailing stop,18,2023-11
BTC-USD,LONG,trend,2023-11-14,2023-12-05,35568.965595,44051.28334,2.440396978538488,20592.71997713772,23.723676864098017,RSI overbought exit,21,2023-12
QQQ,LONG,trend,2023-11-16,2024-01-04,379.91375051574704,390.9886682189941,185.66737022281552,2041.732077832961,2.894530654569577,ATR trailing stop,49,2024-01
GLD,LONG,trend,2023-12-05,2024-01-17,187.16870889587403,185.82141233825683,573.6462046823997,-794.1907064460809,-0.739686055565546,ATR trailing stop,43,2024-01
TLT,LONG,trend,2024-01-04,2024-01-18,87.75443344039917,84.64144498214722,826.7687185415455,-2587.7172582642634,-3.566676490908174,Hard stop-loss,14,2024-01
ETH-USD,LONG,trend,2023-11-14,2024-01-23,1980.379695,2241.4787,37.8471421695705,9797.017599539437,13.07110585679884,ATR trailing stop,70,2024-01
BTC-USD,LONG,trend,2024-02-22,2024-02-27,51314.06421,57008.82133,2.087988689552993,11771.554682169593,10.986750680277098,RSI overbought exit,5,2024-02
GLD,LONG,trend,2024-03-15,2024-04-02,199.72997771453856,210.86891038970947,466.8200717657163,5180.189782840509,5.555880504304097,RSI overbought exit,18,2024-04
QQQ,LONG,trend,2024-01-17,2024-04-17,401.85316958007814,420.70954226989744,265.1394566663898,4977.259069787277,4.671415383131508,ATR trailing stop,91,2024-04
BTC-USD,LONG,trend,2024-03-05,2024-04-17,63755.872005,61246.731315000005,1.1455949072551197,-2944.6227395310752,-4.031608917706297,ATR trailing stop,43,2024-04
USO,LONG,trend,2024-04-09,2024-05-01,81.15811652603149,75.92240730514527,1212.3100956629607,-6365.711446608632,-6.469955103828738,Hard stop-loss,22,2024-05
GLD,LONG,trend,2024-04-22,2024-05-23,215.59156432495118,215.69842922058106,642.7059388271872,40.956570782320696,0.029558303909199675,ATR trailing stop,31,2024-05
ETH-USD,LONG,trend,2024-05-24,2024-06-23,3730.14414,3419.199545,16.851789019736273,-5297.592341116059,-8.42765809433305,ATR trailing stop,30,2024-06
BTC-USD,LONG,trend,2024-07-23,2024-08-04,65968.978005,58131.9195,1.312045085443283,-10358.845795104084,-11.968035072335958,Hard stop-loss,12,2024-08
GLD,LONG,trend,2024-05-28,2024-11-20,218.2118214416504,215.27847305145264,631.3176518813444,-1879.0564378710542,-1.3639976354827907,End of backtest,176,2024-11
