symbol,dir,regime,entry_date,exit_date,entry,exit,size,pnl,pnl_pct,reason,hold_days,exit_month
GLD,LONG,trend,2022-03-09,2022-04-05,185.83858932495116,179.22208149261473,598.4799941675834,-3981.2997349637535,-3.5796398760877737,ATR trailing stop,27,2022-04
ETH-USD,LONG,trend,2022-04-05,2022-04-11,3408.6934949999995,2978.25013,16.81259326837406,-7286.941328902443,-12.715182980392893,Hard stop-loss,6,2022-04
GLD,LONG,trend,2022-04-18,2022-04-25,184.6284616104126,177.03229805145264,581.375284921353,-4436.806193943526,-4.13347430401805,Hard stop-loss,7,2022-04
USO,LONG,trend,2022-03-09,2022-06-17,75.4775482208252,83.33166233825683,728.7014704295109,5711.159725317768,10.383813424932546,ATR trailing stop,100,2022-06
USO,LONG,trend,2022-06-28,2022-07-05,84.7284732208252,74.77252077941894,861.1682445016156,-8586.628430398712,-11.768071070483321,Hard stop-loss,7,2022-07
ETH-USD,LONG,trend,2022-07-31,2022-08-19,1678.95906,1608.2054950000002,19.482197302908485,-1409.7662899713669,-4.309918700161739,ATR trailing stop,19,2022-08
QQQ,LONG,trend,2022-08-03,2022-08-26,315.1338051513672,299.994930368042,320.0882000842123,-4864.980148154014,-4.822990590329841,ATR trailing stop,23,2022-08
ETH-USD,LONG,trend,2022-10-30,2022-11-08,1591.23522,1334.102615,31.782099298458206,-8214.614566765495,-16.243148993082244,Hard stop-loss,9,2022-11
QQQ,LONG,trend,2022-12-01,2022-12-15,287.1796550354004,270.67025692749024,329.30850894996144,-5454.512078322387,-5.767655148570285,Hard stop-loss,14,2022-12
TLT,LONG,trend,2022-12-06,2022-12-20,93.07024969787598,90.21547248458863,995.1451699768145,-2858.873253502819,-3.0867224672868043,ATR trailing stop,14,2022-12
GLD,LONG,trend,2022-12-08,2023-02-03,166.4866482208252,173.4426607131958,11.388743442103772,78.82518286272195,4.157284703724489,ATR trailing stop,57,2023-02
QQQ,LONG,trend,2023-01-25,2023-02-24,281.99648906555177,285.97728930358886,320.816659908334,1258.7577803765569,1.3913665355118332,ATR trailing stop,30,2023-02
BTC-USD,LONG,trend,2023-01-30,2023-03-06,22837.563075000002,22398.795000000002,2.758585414093967,-1272.1682010453685,-2.0193348497188546,ATR trailing stop,35,2023-03
ETH-USD,LONG,trend,2023-02-08,2023-03-09,1651.255215,1436.60134,16.500668951691647,-3565.637413699696,-13.086437176823692,Hard stop-loss,29,2023-03
